,Lat,Long,Country/Region
0,-12.46,130.85,Australia
1,54.24,-4.55,United Kingdom
2,-28.02,153.4,Australia
3,-33.87,151.21,Australia
4,-41.45,145.97,Australia
5,52.94,-73.55,Canada
6,30.62,102.71,China
7,12.52,-70.04,Netherlands
8,18.04,-63.05,Netherlands
9,30.98,112.27,China
10,16.74,-62.19,United Kingdom
11,19.31,-81.25,United Kingdom
12,53.14,-57.66,Canada
13,31.2,121.45,China
14,32.31,-64.75,United Kingdom
15,36.14,-5.35,United Kingdom
16,31.69,88.09,China
17,49.37,-2.36,United Kingdom
18,37.65,-122.67,Canada
19,53.76,-98.81,Canada
20,31.83,117.23,China
21,32.97,119.46,China
22,53.93,-116.58,Canada
23,33.88,113.61,China
24,35.19,108.87,China
25,-34.93,138.6,Australia
26,44.68,-63.74,Canada
27,19.2,109.75,China
28,35.75,96.0,China
29,36.34,118.15,China
30,22.17,113.55,China
31,37.27,106.17,China
32,37.58,112.29,China
33,46.51,-63.42,Canada
34,22.3,114.2,China
35,37.81,101.06,China
36,39.31,117.32,China
37,23.34,113.42,China
38,39.55,116.13,China
39,40.18,116.41,China
40,-31.95,115.86,Australia
41,-35.47,149.01,Australia
42,46.57,-66.46,Canada
43,23.83,108.79,China
44,41.11,85.24,China
45,41.3,122.61,China
46,24.97,101.49,China
47,43.67,126.19,China
48,44.09,113.94,China
49,49.28,-123.12,Canada
50,26.08,117.99,China
51,47.86,127.76,China
52,61.89,-6.91,Denmark
53,26.82,106.87,China
54,71.71,-42.6,Denmark
55,-12.83,45.17,France
56,-37.81,144.96,Australia
57,51.25,-85.32,Canada
58,27.61,111.71,China
59,-17.68,149.41,France
60,-20.9,165.62,France
61,27.61,115.72,China
62,-21.14,55.25,France
63,16.25,-61.58,France
64,52.94,-106.45,Canada
65,29.18,120.09,China
66,17.9,-62.83,France
67,18.07,-63.05,France
68,30.06,107.87,China
69,3.93,-53.13,France
70,12.17,-68.99,Netherlands
